image_name,precision,recall,f1_score,detected_objects,inference_time_ms,gpu_memory_delta_mb
Enterobius-vermicularis_0791_jpg.rf.8004093bfb2cc802b4da0504ef678aad.jpg,1.0,1.0,1.0,1,400.79307556152344,216.0
100619_jpg.rf.81f4320b9297db73a418773c05ff70c8.jpg,0.5,1.0,0.6666666666666666,2,237.31350898742676,0.0
100098_png_jpg.rf.824cee337343b095077a486b789a9e0c.jpg,1.0,1.0,1.0,6,217.7410125732422,0.0
Ascaris-lumbricoides_0197_jpg.rf.80ce15b770da167fe25f1731e6e45d72.jpg,1.0,1.0,1.0,1,439.3806457519531,0.0
Enterobius-vermicularis_0535_jpg.rf.83e381224cce8117730c8d3651afb26c.jpg,1.0,1.0,1.0,1,309.82279777526855,252.0
Taenia-spp-egg_0438_jpg.rf.86ed2d0062a16ca4213fb48118b6a451.jpg,1.0,1.0,1.0,1,310.26363372802734,0.0
Ascaris-lumbricoides_0044_jpg.rf.878e1b1cebb2e6f7d65ec07537fab9bc.jpg,1.0,1.0,1.0,1,209.84745025634766,0.0
Opisthorchis-viverrine_0120_jpg.rf.8820b78dcec0b765b3517c608f280de3.jpg,1.0,1.0,1.0,1,257.8549385070801,0.0
Enterobius-vermicularis_0505_jpg.rf.87f0eff69315e829c02d936c6ab7c381.jpg,1.0,1.0,1.0,1,223.93441200256348,0.0
Ascaris-lumbricoides_0875_jpg.rf.898b988b42ff966d8220eb5b32484b09.jpg,1.0,1.0,1.0,1,310.2560043334961,0.0
Opisthorchis-viverrine_0950_jpg.rf.892d975789be6763261f08b2fb4d3016.jpg,1.0,1.0,1.0,1,368.17336082458496,0.0
Taenia-spp-egg_0120_jpg.rf.8ad2e3ef04d8b3fa46e5aaa4e3368abd.jpg,1.0,1.0,1.0,1,209.18726921081543,0.0
Opisthorchis-viverrine_0824_jpg.rf.8aea8fd37d164ad512e37b1088e8098b.jpg,1.0,1.0,1.0,1,241.75524711608887,0.0
Opisthorchis-viverrine_0470_jpg.rf.8a27265374fe25d09b3b8f81ac2b3d23.jpg,1.0,1.0,1.0,1,402.1344184875488,0.0
Opisthorchis-viverrine_0883_jpg.rf.8afb590b8f6fd26dbbdee5b0de30f8a9.jpg,1.0,1.0,1.0,1,311.22279167175293,0.0
Taenia-spp-egg_0439_jpg.rf.8c05806a9571e89de5fc641d9330cbcf.jpg,1.0,1.0,1.0,1,309.4613552093506,0.0
Enterobius-vermicularis_0797_jpg.rf.8cd3a3a5e322b16c5576e424e467c4e5.jpg,1.0,1.0,1.0,1,376.7738342285156,0.0
Ascaris-lumbricoides_0395_jpg.rf.8d7e3c7cb93ee7d2f1fa56b8ee79f928.jpg,1.0,1.0,1.0,1,306.6141605377197,0.0
Fasciolopsis-buski_0397_jpg.rf.8eb04724ce0a5b362bd182ec3ac0697a.jpg,1.0,1.0,1.0,1,307.38162994384766,0.0
Opisthorchis-viverrine_0847_jpg.rf.8e52afd8c355b1b15a6d2aa425469122.jpg,1.0,1.0,1.0,1,315.563440322876,0.0
